study_id,first_author,publication_year,doi,search_strings,search_repeatable,studies_screened,studies_excluded_with_motive,prisma,non_independence_phylogeny,non_independence_same_study,main_data,additional_data,metadata,scripts,search_sources,software,heterogeneity,publication_bias_investigated
id_124,romano,2017,10.1111/jeb.13151,Substandard,Insufficient,Adequate,Insufficient,Adequate,Not applicable,Adequate,Adequate,Insufficient,Substandard,Insufficient,"Databases: Web of Science, Databases: Scopus, Google Scholar",SAS 9.3 PROC MIXED,i_2,"Regression-based methods, Fail-safe N, Trim-and-fill tests"
id_125,rometsch,2020,10.1098/rstb.2019.0535,Adequate,Adequate,Adequate,Adequate,Insufficient,Adequate,Insufficient,Insufficient,Insufficient,Not applicable,Insufficient,"Databases: Web of Science, manual inclusion of papers",OpenMEE,i_2,None
id_126,sanchez-tojar,2018,10.7554/eLife.37385,Substandard,Insufficient,Adequate,Insufficient,Adequate,Not applicable,Adequate,Adequate,Insufficient,Insufficient,Adequate,"Databases: Web of Science, Databases: Scopus, Other databases that cover only published studies",package MCMCglmm (in R),i_2,"Funnel plots, Regression-based methods, Time-lag bias tests"
id_127,santos,2011,10.1016/j.anbehav.2011.03.022,Substandard,Insufficient,Insufficient,Insufficient,Insufficient,Adequate,Insufficient,Adequate,Adequate,Substandard,Insufficient,"Databases: Web of Science, Databases: Scopus, Backward citations of key papers, Forward citations of key papers",S-Plus; LMMs in R; package MCMCglmm (in R),Q,"Funnel plots, Trim-and-fill tests"
id_128,seguin,2012,10.1371/journal.pone.0037785,Adequate,Adequate,Substandard,Insufficient,Insufficient,Not applicable,Insufficient,Insufficient,Insufficient,Not applicable,Insufficient,"Databases: Web of Science, Backward citations of initially selected papers, Forward citations of initially selected papers",package rmeta (in R),None,None
id_129,senior,2016,10.1111/faf.12096,Adequate,Adequate,Adequate,Adequate,Adequate,Insufficient,Adequate,Adequate,Insufficient,Substandard,Insufficient,"Databases: Web of Science, Databases: Scopus, Backward citations of key papers, Backward citations of initially selected papers",package metafor (in R); package MCMCglmm (in R),i_2,"Funnel plots, Regression-based methods, Trim-and-fill tests"
id_131,simons,2011,10.1093/beheco/arr043,Adequate,Insufficient,Insufficient,Insufficient,Insufficient,Not applicable,Adequate,Adequate,Adequate,Substandard,Insufficient,Google Scholar,package metafor (in R),Q,"Funnel plots, Correlation-based methods"
id_132,simons,2012,10.1371/journal.pone.0043088,Adequate,Adequate,Substandard,Insufficient,Adequate,Adequate,Adequate,Adequate,Insufficient,Insufficient,Insufficient,"Google Scholar, Backward citations of initially selected papers",package MCMCglmm (in R),i_2,"Funnel plots, Correlation-based methods"
id_133,slatyer,2012,10.1111/j.1469-185X.2011.00182.x,Adequate,Adequate,Adequate,Insufficient,Insufficient,Insufficient,Insufficient,Adequate,Adequate,Substandard,Insufficient,"Databases: Scopus, Backward citations of key papers, Forward citations of key papers",MetaWin,Q,"Correlation-based methods, Fail-safe N, Trim-and-fill tests, Time-lag bias tests"
id_134,sokolovska,2000,10.1046/j.1365-2311.2000.00251.x,Not applicable,Insufficient,Insufficient,Insufficient,Insufficient,Insufficient,Insufficient,Adequate,Insufficient,Insufficient,Insufficient,Unclear,"Microsoft Excel 6.0 (Microsoft Corporation, Redmond, Washington)",Q test,None
id_135,soma,2011,10.1093/beheco/arq219,Substandard,Insufficient,Insufficient,Insufficient,Insufficient,Adequate,Adequate,Adequate,Insufficient,Insufficient,Insufficient,"Databases: Web of Science, Google Scholar, Backward citations of key papers",package metafor (in R); package meta (in R),Q,"Funnel plots, Correlation-based methods, Trim-and-fill tests, published vs unpublished"
id_136,soper,2021,10.1186/s12862-021-01925-3,Substandard,Insufficient,Substandard,Insufficient,Adequate,Adequate,Insufficient,Adequate,Adequate,Adequate,Insufficient,"Databases: Web of Science, Google Scholar",package metafor (in R),Q,Funnel plots
id_137,south,2011,10.1111/j.1469-185X.2010.00145.x,Substandard,Insufficient,Insufficient,Insufficient,Insufficient,Insufficient,Insufficient,Adequate,Adequate,Substandard,Insufficient,"Databases: Web of Science, Databases: Scopus, Google Scholar, Backward citations of key papers",MetaWin,Q,"Funnel plots, Fail-safe N"
id_138,street,2016,10.1016/j.anbehav.2015.11.023,Substandard,Insufficient,Insufficient,Insufficient,Insufficient,Adequate,Insufficient,Adequate,Insufficient,Substandard,Insufficient,Databases: Web of Science,package metafor (in R),i_2,None
id_139,thornhill,1998,10.1093/beheco/9.6.546,Not applicable,Insufficient,Insufficient,Insufficient,Insufficient,Insufficient,Adequate,Substandard,Insufficient,Substandard,Insufficient,personal communication,NA,None,None
id_140,torres-vila,2004,10.1007/s00265-003-0712-2,Not applicable,Insufficient,Insufficient,Insufficient,Insufficient,Insufficient,Not applicable,Substandard,Adequate,Substandard,Insufficient,Unclear,MetaWin,Q,"Correlation-based methods, Fail-safe N"
id_141,torres-vila,2005,10.1007/s00265-004-0857-7,Not applicable,Insufficient,Insufficient,Insufficient,Insufficient,Insufficient,Not applicable,Adequate,Adequate,Substandard,Insufficient,Unclear,MetaWin,Q,"Correlation-based methods, Fail-safe N, Trim-and-fill tests, Time-lag bias tests"
id_142,vieira,2013,10.1111/1365-2435.12051,Substandard,Insufficient,Insufficient,Insufficient,Insufficient,Insufficient,Insufficient,Insufficient,Insufficient,Not applicable,Insufficient,"Databases: Web of Science, Backward citations of initially selected papers",package metafor (in R),Q,Funnel plots
id_145,weaver,2018,10.1038/s41467-017-02649-z,Substandard,Insufficient,Substandard,Insufficient,Adequate,Adequate,Adequate,Adequate,Insufficient,Insufficient,Adequate,"Databases: Web of Science, Google Scholar",package MCMCglmm (in R),i_2,"Funnel plots, Regression-based methods"
id_147,white,2020,10.1098/rsbl.2020.0001,Adequate,Adequate,Adequate,Insufficient,Adequate,Adequate,Adequate,Adequate,Insufficient,Substandard,Adequate,"Databases: Web of Science, Databases: Scopus, Backward citations of initially selected papers",package metafor (in R),i_2,"Funnel plots, Regression-based methods"
id_148,white,2022,10.1098/rspb.2022.0444,Adequate,Adequate,Adequate,Insufficient,Adequate,Insufficient,Adequate,Adequate,Insufficient,Insufficient,Adequate,"Databases: Web of Science, Databases: Scopus, Other databases that also cover grey literature, Backward citations of key papers, Forward citations of key papers",package metafor (in R),"i_2, Q","Funnel plots, Regression-based methods, Trim-and-fill tests"
id_149,winternitz,2017,10.1111/mec.13920,Adequate,Adequate,Insufficient,Insufficient,Insufficient,Adequate,Adequate,Adequate,Adequate,Insufficient,Adequate,"Databases: Web of Science, Backward citations of key papers",package MCMCglmm (in R),i_2,"Funnel plots, Correlation-based methods, Regression-based methods, Trim-and-fill tests, p-curve"
id_150,yasukawa,2010,10.1111/j.1557-9263.2009.00258.x,Not applicable,Insufficient,Insufficient,Insufficient,Insufficient,Not applicable,Insufficient,Adequate,Adequate,Substandard,Insufficient,Unclear,JMP 6.0 (SAS instutute 2006),None,None
id_152,zhang,2016,10.13292/j.1000-4890.201602.011,Substandard,Insufficient,Insufficient,Insufficient,Insufficient,Insufficient,Adequate,Insufficient,Insufficient,Not applicable,Insufficient,"Databases: Web of Science, Other databases that cover only published studies, Google Scholar",Review Manager,Q,None
