authors,publication_year,title,journal,doi,affiliations
GRAHAM S;CHAPUIS E;MECONCELLI S;BONEL N;SARTORI K;CHRISTOPHE A;ALDA P;DAVID P;JANICKE T,2015,SIZE-ASSORTATIVE MATING IN SIMULTANEOUS HERMAPHRODITES: AN EXPERIMENTAL TEST AND A META-ANALYSIS,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,10.1007/S00265-015-1999-5,"CENTRE D’ECOLOGIE FONCTIONNELLE ET EVOLUTIVE, UMR 5175, CNRS, UNIVERSITÉ DE MONTPELLIER, UNIVERSITÉ PAUL-VALÉRY MONTPELLIER, ECOLE PRATIQUE DES HAUTES ETUDES, 1919 ROUTE DE MENDE, MONTPELLIER CEDEX 05, 34293, FRANCE; IRD, UMR186 “INTÉRACTIONS PLANTES-MICRORGANISMES-ENVIRONEMENT”, 911, AVENUE AGROPOLIS, BP 64501, MONTPELLIER CEDEX 05, 34394, FRANCE; DEPARTMENT OF LIFE SCIENCES AND SYSTEMS BIOLOGY, UNIVERSITÀ DI TORINO, TURIN, ITALY; LABORATORIO DE ZOOLOGÍA DE INVERTEBRADOS I, DEPARTAMENTO DE BIOLOGÍA, BIOQUÍMICA Y FARMACIA, UNIVERSIDAD NACIONAL DEL SUR, BAHÍA BLANCA, ARGENTINA; CENTRO DE ESTUDIOS PARASITOLÓGICOS Y DE VECTORES (CEPAVE, CCT-LA PLATA-CONICET-UNLP), AVENIDA 120 S/N E/61 Y 62, LA PLATA, 1900, BUENOS AIRES, ARGENTINA"
SENIOR AM;JOHNSON SL;NAKAGAWA S,2016,SPERM TRAITS OF MASCULINIZED FISH RELATIVE TO WILD-TYPE MALES: A SYSTEMATIC REVIEW AND META-ANALYSES,FISH AND FISHERIES,10.1111/FAF.12096,"DEPARTMENT OF ZOOLOGY, THE UNIVERSITY OF OTAGO, 340 GREAT KING STREET, DUNEDIN, 9016, NEW ZEALAND; THE UNIVERSITY OF SYDNEY, CHARLES PERKINS CENTRE, SYDNEY, 2006, NSW, AUSTRALIA; DEPARTMENT OF ANATOMY, THE UNIVERSITY OF OTAGO, 270 GREAT KING STREET, DUNEDIN, 9016, NEW ZEALAND; SCHOOL OF BIOLOGICAL SCIENCES, THE UNIVERSITY OF SYDNEY, SYDNEY, 2006, NSW, AUSTRALIA"
POWERS MJ;WILSON AE;HEINE KB;HILL GE,2020,THE RELATIVE IMPORTANCE OF VARIOUS MATING CRITERIA IN COPEPODS,JOURNAL OF PLANKTON RESEARCH,10.1093/PLANKT/FBZ075,"DEPARTMENT OF BIOLOGICAL SCIENCES, 101 ROUSE LIFE SCIENCES BUILDING, AUBURN UNIVERSITY, AUBURN, 36849, AL, UNITED STATES; SCHOOL OF FISHERIES, AQUACULTURE, AND AQUATIC SCIENCES, 203 SWINGLE HALL, AUBURN UNIVERSITY, AUBURN, 36849, AL, UNITED STATES"
SEGUIN A;FORSTMEIER W,2012,NO BAND COLOR EFFECTS ON MALE COURTSHIP RATE OR BODY MASS IN THE ZEBRA FINCH: FOUR EXPERIMENTS AND A META-ANALYSIS,PLOS ONE,10.1371/JOURNAL.PONE.0037785,"MAX PLANCK INSTITUTE FOR ORNITHOLOGY, SEEWIESEN, GERMANY"
PARRIS KM;MCCARTHY MA,2013,PREDICTING THE EFFECT OF URBAN NOISE ON THE ACTIVE SPACE OF AVIAN VOCAL SIGNALS,AMERICAN NATURALIST,10.1086/671906,"SCHOOL OF BOTANY, UNIVERSITY OF MELBOURNE, VA 3010, AUSTRALIA"
MORI BA;EVENDEN ML,2013,WHEN MATING DISRUPTION DOES NOT DISRUPT MATING: FITNESS CONSEQUENCES OF DELAYED MATING IN MOTHS,ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA,10.1111/J.1570-7458.2012.01309.X,"DEPARTMENT OF BIOLOGICAL SCIENCES, UNIVERSITY OF ALBERTA, CW405 BIOLOGICAL SCIENCES BUILDING, EDMONTON, AB, T6G 2E9, CANADA"
MAJOLO B;LEHMANN J;DE BORTOLI VIZIOLI A;SCHINO G,2012,FITNESS-RELATED BENEFITS OF DOMINANCE IN PRIMATES,AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,10.1002/AJPA.22031,"SCHOOL OF PSYCHOLOGY, UNIVERSITY OF LINCOLN, LINCOLN LN6 7TS, BRAYFORD POOL, UNITED KINGDOM; DEPARTMENT OF LIFE SCIENCES, CENTRE FOR RESEARCH IN EVOLUTIONARY ANTHROPOLOGY, UNIVERSITY OF ROEHAMPTON, LONDON, UNITED KINGDOM; ISTITUTO DI SCIENZE E TECNOLOGIE DELLA COGNIZIONE, CONSIGLIO NAZIONALE DELLE RICERCHE, ROME, ITALY; DIPARTIMENTO DI BIOLOGIA ANIMALE E DELL'UOMO, UNIVERSITÀ LA SAPIENZA, ROME, ITALY"
WEAVER RJ;SANTOS ESA;TUCKER AM;WILSON AE;HILL GE,2018,CAROTENOID METABOLISM STRENGTHENS THE LINK BETWEEN FEATHER COLORATION AND INDIVIDUAL QUALITY,NATURE COMMUNICATIONS,10.1038/S41467-017-02649-Z,"DEPARTMENT OF BIOLOGICAL SCIENCES, AUBURN UNIVERSITY, 331 FUNCHESS HALL, AUBURN, 36849, AL, UNITED STATES; BECO DO DEPARTAMENTO DE ZOOLOGIA, UNIVERSIDADE DE SÃO PAULO, SÃO PAULO, 05508-090, BRAZIL; SCHOOL OF FORESTRY AND WILDLIFE SCIENCES, AUBURN UNIVERSITY, 3301 SFWS BUILDING, AUBURN, 36849, AL, UNITED STATES; SCHOOL OF FISHERIES, AQUACULTURE AND AQUATIC SCIENCES, AUBURN UNIVERSITY, 203 SWINGLE HALL, AUBURN, 36849, AL, UNITED STATES"
PARKER TH;GREIG EI;NAKAGAWA S;PARRA M;DALISIO AC,2018,SUBSPECIES STATUS AND METHODS EXPLAIN STRENGTH OF RESPONSE TO LOCAL VERSUS FOREIGN SONG BY OSCINE BIRDS IN META-ANALYSIS,ANIMAL BEHAVIOUR,10.1016/J.ANBEHAV.2018.05.023,"DEPARTMENT OF BIOLOGY, WHITMAN COLLEGE, WALLA WALLA, WA, UNITED STATES; DEPARTMENT OF BIOLOGICAL SCIENCES, MACQUARIE UNIVERSITY, NORTH RYDE, AUSTRALIA; CORNELL LAB OF ORNITHOLOGY, ITHACA, NY, UNITED STATES; EVOLUTION & ECOLOGY RESEARCH CENTRE, SCHOOL OF BIOLOGICAL, EARTH AND ENVIRONMENTAL SCIENCES, UNIVERSITY OF NEW SOUTH WALES, SYDNEY, AUSTRALIA; DEPARTMENT OF BIOLOGICAL SCIENCES, EMPORIA STATE UNIVERSITY, EMPORIA, KS, UNITED STATES"
RIOS MOURA R;PEIXOTO PEC,2013,THE EFFECT OF OPERATIONAL SEX RATIO ON THE OPPORTUNITY FOR SEXUAL SELECTION: A META-ANALYSIS,ANIMAL BEHAVIOUR,10.1016/J.ANBEHAV.2013.07.002,"DEPARTAMENTO DE BIOLOGIA, UNIVERSIDADE FEDERAL DO CEARÁ, CEARÁ, BRAZIL; DEPARTAMENTO DE CIÊNCIAS BIOLÓGICAS, UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA, BAHIA, BRAZIL; INSTITUTO DE BIOLOGIA, UNIVERSIDADE FEDERAL DE UBERLÂNDIA, MINAS GERAIS, BRAZIL"
STREET SE;CROSS CP;BROWN GR,2016,EXAGGERATED SEXUAL SWELLINGS IN FEMALE NONHUMAN PRIMATES ARE RELIABLE SIGNALS OF FEMALE FERTILITY AND BODY CONDITION,ANIMAL BEHAVIOUR,10.1016/J.ANBEHAV.2015.11.023,"SCHOOL OF PSYCHOLOGY AND NEUROSCIENCE, UNIVERSITY OF ST ANDREWS, ST ANDREWS, UNITED KINGDOM; SCHOOL OF BIOLOGY, UNIVERSITY OF ST ANDREWS, ST ANDREWS, UNITED KINGDOM; SCHOOL OF BIOLOGICAL, BIOMEDICAL AND ENVIRONMENTAL SCIENCES, UNIVERSITY OF HULL, HULL, UNITED KINGDOM"
ISVARAN K;PONKSHE A,2013,HOW GENERAL IS A FEMALE MATING PREFERENCE FOR CLUSTERED MALES IN LEKKING SPECIES? A META-ANALYSIS,ANIMAL BEHAVIOUR,10.1016/J.ANBEHAV.2013.05.036,"CENTRE FOR ECOLOGICAL SCIENCES, INDIAN INSTITUTE OF SCIENCE, BANGALORE, INDIA; RAGHURAJ SOC., PUNE, 18 RAGHAV, SINHAGAD ROAD, INDIA"
CULINA A;BROUWER L,2022,NO EVIDENCE OF IMMEDIATE FITNESS BENEFITS OF WITHIN-SEASON DIVORCE IN MONOGAMOUS BIRDS,BIOLOGY LETTERS,10.1098/RSBL.2021.0671,"NETHERLANDS INSTITUTE OF ECOLOGY, NIOO-KNAW, WAGENINGEN, NETHERLANDS; RUDER BOSKOVIC INSTITUTE, ZAGREB, CROATIA; COLLEGE OF SCIENCE AND ENGINEERING, JAMES COOK UNIVERSITY, TOWNSVILLE, 4811, QLD, AUSTRALIA; DIVISION OF ECOLOGY AND EVOLUTION OF RESEARCH SCHOOL OF BIOLOGY, AUSTRALIAN NATIONAL UNIVERSITY, CANBERRA, 2601, ACT, AUSTRALIA"
NIEBERDING CM;HOLVECK MJ,2017,LABORATORY SOCIAL ENVIRONMENT BIASES MATING OUTCOME: A FIRST QUANTITATIVE SYNTHESIS IN A BUTTERFLY,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,10.1007/S00265-017-2346-9,"GROUP OF EVOLUTIONARY ECOLOGY AND GENETICS, BIODIVERSITY RESEARCH CENTRE, EARTH AND LIFE INSTITUTE, UNIVERSITÉ CATHOLIQUE DE LOUVAIN (UCL), LOUVAIN-LA-NEUVE, BELGIUM; UNIVERSITÉ CATHOLIQUE DE LOUVAIN (UCL), EARTH AND LIFE INSTITUTE (SST/ELI/ELIB), BIODIVERSITY RESEARCH CENTRE, CARNOY BUILDING, LETTER BOX L7.07.04, CROIX DU SUD 4-5, LOUVAIN-LA-NEUVE, 1348, BELGIUM; CENTRE D’ECOLOGIE FONCTIONNELLE ET EVOLUTIVE, UNIVERSITÉ DE MONTPELLIER, UMR 5175 CAMPUS CNRS, MONTPELLIER, FRANCE"
SIMONS MJP;VERHULST S,2011,ZEBRA FINCH FEMALES PREFER MALES WITH REDDER BILLS INDEPENDENT OF SONG RATE-A META-ANALYSIS,BEHAVIORAL ECOLOGY,10.1093/BEHECO/ARR043,"BEHAVIOURAL BIOLOGY, CENTER FOR LIFE SCIENCES, UNIVERSITY OF GRONINGEN, 9700 CC GRONINGEN, PO BOX 11103, NETHERLANDS"
JIANG Y;BOLNICK DI;KIRKPATRICK M,2013,ASSORTATIVE MATING IN ANIMALS,AMERICAN NATURALIST,10.1086/670160,"SECTION OF INTEGRATIVE BIOLOGY, UNIVERSITY OF TEXAS, AUSTIN, TX 78712, UNITED STATES; HOWARD HUGHES MEDICAL INSTITUTE AND SECTION OF INTEGRATIVE BIOLOGY, UNIVERSITY OF TEXAS, AUSTIN, TX 78712, UNITED STATES"
ZHANG SY;LI D;ZENG JP;WU XF;LIU XP,2016,EFFECT OF MALE MATING HISTORY ON FEMALE REPRODUCTIVE FITNESS IN MOTHS: A META-ANALYSIS,CHINESE JOURNAL OF ECOLOGY,10.13292/J.1000-4890.201602.011,"COLLEGE OF FORESTRY, JIANGXI AGRICULTURAL UNIVERSITY, NANCHANG, 330045, CHINA"
LEE PLM;SHERMAN CDH;ROLLINS LA;WAPSTRA E;PHILLIPS KP,2022,DO FEMALE AMPHIBIANS AND REPTILES HAVE GREATER REPRODUCTIVE OUTPUT IF THEY HAVE MORE MATES?,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,10.1007/S00265-022-03194-6,"SCHOOL OF LIFE AND ENVIRONMENTAL SCIENCES, DEAKIN UNIVERSITY, GEELONG, VIC, AUSTRALIA; EVOLUTION & ECOLOGY RESEARCH CENTRE, SCHOOL OF BIOLOGICAL, EARTH AND ENVIRONMENTAL SCIENCES, UNIVERSITY OF NEW SOUTH WALES, SYDNEY, NSW, AUSTRALIA; SCHOOL OF NATURAL SCIENCES, UNIVERSITY OF TASMANIA, HOBART, TAS, AUSTRALIA; SCHOOL OF BIOLOGICAL, EARTH AND ENVIRONMENTAL SCIENCES, UNIVERSITY COLLEGE CORK, CORK, IRELAND"
ORD TJ,2021,"COSTS OF TERRITORIALITY: A REVIEW OF HYPOTHESES, META-ANALYSIS, AND FIELD STUDY",OECOLOGIA,10.1007/S00442-021-05068-6,"EVOLUTION AND ECOLOGY RESEARCH CENTRE, AND SCHOOL OF BIOLOGICAL, EARTH AND ENVIRONMENTAL SCIENCES, UNIVERSITY OF NEW SOUTH WALES, KENSINGTON, NSW, AUSTRALIA"
LOSDAT S;CHANG SM;REID MD;MØLLER AP;PETRIE M,2014,INBREEDING DEPRESSION IN MALE GAMETIC PERFORMANCE SEXUALLY SELECTED TRAITS AND ADULT SURVIVAL: A META-ANALYSIS,JOURNAL OF EVOLUTIONARY BIOLOGY QUARTERLY REVIEW OF BIOLOGY,10.1111/JEB.12403 10.1086/393743,"INSTITUTE OF BIOLOGICAL AND ENVIRONMENTAL SCIENCES, SCHOOL OF BIOLOGICAL SCIENCES, UNIVERSITY OF ABERDEEN, ABERDEEN, UNITED KINGDOM; PLANT BIOLOGY DEPARTMENT, UNIVERSITY OF GEORGIA, ATHENS, GA, UNITED STATES;SMITHSONIAN TROPICAL RES. INSTITUTE, UNIT 0948, APO AA 34002-0948, UNITED STATES"
HOEKSTRA HE;HOEKSTRA JM;BERRIGAN D;VIGNIERI SN;HOANG A;HILL CE;BEERLI P;KINGSOLVER JG,2001,STRENGTH AND TEMPO OF DIRECTIONAL SELECTION IN THE WILD,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,10.1073/PNAS.161281098,"DEPARTMENT OF ZOOLOGY, UNIVERSITY OF WASHINGTON, SEATTLE, WA 98195, UNITED STATES; BURKE MUSEUM, UNIVERSITY OF WASHINGTON, SEATTLE, WA 98195, UNITED STATES; DEPARTMENT OF GENETICS, UNIVERSITY OF WASHINGTON, SEATTLE, WA 98195, UNITED STATES; DEPARTMENT OF ECOLOGY AND EVOLUTIONARY BIOLOGY, UNIVERSITY OF ARIZONA, TUCSON, AZ 85721, UNITED STATES; CANCER PREVENTION FELLOWSHIP PROGRAM, ROCKVILLE, MD 20852-7105, UNITED STATES; DEPARTMENT OF BIOLOGY, COASTAL CAROLINA UNIVERSITY, CONWAY, SC 29526, UNITED STATES; DEPARTMENT OF BIOLOGY, UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL, NC 27516, UNITED STATES"
SOKOLOVSKA N;ROWE L;JOHANSSON F,2000,FITNESS AND BODY SIZE IN MATURE ODONATES,ECOLOGICAL ENTOMOLOGY,10.1046/J.1365-2311.2000.00251.X,"DEPARTMENT OF ZOOLOGY, UNIVERSITY OF TORONTO, TORONTO, ONT. M5S 3G5, CANADA; DEPARTMENT OF ANIMAL ECOLOGY, UNIVERSITY OF UMEÅ, 90187 UMEÅ, SWEDEN"
POMIANKOWSKI A;MOLLER AP,1995,A RESOLUTION OF THE LEK PARADOX,PROCEEDINGS OF THE ROYAL SOCIETY B: BIOLOGICAL SCIENCES,10.1098/RSPB.1995.0054,"THE GALTON LABORATORY, DEPARTMENT OF GENETICS AND BIOMETRY, UNIVERSITY COLLEGE LONDON, LONDON NW1 2HE, 4 STEPHENSON WAY, UNITED KINGDOM"
RANDLER C,2008,MATING PATTERNS IN AVIAN HYBRID ZONES - A META-ANALYSIS AND REVIEW,ARDEA,10.5253/078.096.0108,"UNIVERSITY OF LEIPZIG, INSTITUTE OF BIOLOGY I, D-04103 LEIPZIG, JOHANNISALLEE 21-23, GERMANY; UNIVERSITY OF EDUCATION HEIDELBERG, BIOLOGY AND DIDACTICS (ZOOLOGY), D-69120 HEIDELBERG, IM NEUENHEIMER FELD 561, GERMANY"
LEUNG B;FORBES MR,1996,FLUCTUATING ASYMMETRY IN RELATION TO STRESS AND FITNESS: EFFECTS OF TRAIT TYPE AS REVEALED BY META-ANALYSIS,ECOSCIENCE,10.1080/11956860.1996.11682357,"DEPARTMENT OF BIOLOGY, CARLETON UNIVERSITY, OTTAWA, ONT. KLS 5B6, 1125 COLONEL BY DRIVE, CANADA"
EVANS SR;HINKS AE;WILKIN TA;SHELDON BC,2010,"AGE, SEX AND BEAUTY: METHODOLOGICAL DEPENDENCE OF AGE- AND SEX-DICHROMATISM IN THE GREAT TIT PARUS MAJOR",BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,10.1111/J.1095-8312.2010.01548.X,"EDWARD GREY INSTITUTE, DEPARTMENT OF ZOOLOGY, UNIVERSITY OF OXFORD, OXFORD OX1 3PS, SOUTH PARKS ROAD, UNITED KINGDOM"
ORD TJ;STAMPS JA,2009,SPECIES IDENTITY CUES IN ANIMAL COMMUNICATION,AMERICAN NATURALIST,10.1086/605372,"MUSEUM OF COMPARATIVE ZOOLOGY AND, DEPARTMENT OF ORGANISMIC AND EVOLUTIONARY BIOLOGY, HARVARD UNIVERSITY, CAMBRIDGE, MA 02138, UNITED STATES; DEPARTMENT OF EVOLUTION AND ECOLOGY, UNIVERSITY OF CALIFORNIA, DAVIS, CALIFORNIA 95616, UNITED STATES"
