authors,year,title,journal,doi,language,evaluation
SANTEMA P and VALCU M and CLINCHY M and ZANETTE L and KEMPENAERS B,2019,playback of predator calls inhibits and delays dawn singing in a songbird community,BEHAVIORAL ECOLOGY,10.1093/beheco/arz075,English,Excluded: not meta-analysis
SANTOS ESA and SCHECK D and NAKAGAWA S,2011,dominance and plumage traits: meta-analysis and metaregression analysis,ANIMAL BEHAVIOUR,10.1016/j.anbehav.2011.03.022,English,Included
SEGUIN A and FORSTMEIER W,2012,no band color effects on male courtship rate or body mass in the zebra finch: four experiments and a meta-analysis,PLOS ONE,10.1371/journal.pone.0037785,English,Included
SENIOR AM and JOHNSON SL and NAKAGAWA S,2016,sperm traits of masculinized fish relative to wild-type males: a systematic review and meta-analyses,FISH AND FISHERIES,10.1111/faf.12096,English,Included
SEPP T and MCGRAW KJ and KAASIK A and GIRAUDEAU M,2018,a review of urban impacts on avian life-history evolution: does city living lead to slower pace of life?,GLOBAL CHANGE BIOLOGY,10.1111/gcb.13969,English,Excluded: not relevant
SIMMONS LW,2005,"the evolution of polyandry: sperm competition, sperm selection, and offspring viability","ANNUAL REVIEW OF ECOLOGY, EVOLUTION, AND SYSTEMATICS",10.1146/annurev.ecolsys.36.102403.112501,English,Included
SIMMONS LW and TOMKINS JL and KOTIAHO JS and HUNT J,1999,fluctuating paradigm,PROCEEDINGS OF THE ROYAL SOCIETY B: BIOLOGICAL SCIENCES,10.1098/rspb.1999.0677,English,Excluded: not meta-analysis
SIMONS MJP and COHEN AA and VERHULST S,2012,what does carotenoid-dependent coloration tell? plasma carotenoid level signals immunocompetence and oxidative stress state in birds-a meta-analysis,PLOS ONE,10.1371/journal.pone.0043088,English,Included
SIMONS MJP and GROOTHUIS TGG and VERHULST S,2015,an appraisal of how the vitamin a-redox hypothesis can maintain honesty of carotenoid-dependent signals,ECOLOGY AND EVOLUTION,10.1002/ece3.1364,English,Excluded: not relevant
SIMONS MJP and VERHULST S,2011,zebra finch females prefer males with redder bills independent of song rate-a meta-analysis,BEHAVIORAL ECOLOGY,10.1093/beheco/arr043,English,Included
SLATYER RA and MAUTZ BS and BACKWELL PR and JENNIONS MD,2012,estimating genetic benefits of polyandry from experimental studies: a meta-analysis,BIOLOGICAL REVIEWS,10.1111/j.1469-185X.2011.00182.x,English,Included
SOKOLOVSKA N and ROWE L and JOHANSSON F,2000,fitness and body size in mature odonates,ECOLOGICAL ENTOMOLOGY,10.1046/j.1365-2311.2000.00251.x,English,Included
SOMA M and ZSOLT GARAMSZEGI L,2011,rethinking birdsong evolution: meta-analysis of the relationship between song complexity and reproductive success,BEHAVIORAL ECOLOGY,10.1093/beheco/arq219,English,Included
SOPER DM and EKROTH AKE and MARTINS MJF,2021,direct evidence for increased disease resistance in polyandrous broods exists only in eusocial hymenoptera,BMC ECOLOGY AND EVOLUTION,10.1186/s12862-021-01925-3,English,Included
SOUTH A and LEWIS SM,2011,the influence of male ejaculate quantity on female fitness: a meta-analysis,BIOLOGICAL REVIEWS,10.1111/j.1469-185X.2010.00145.x,English,Included
STEPHEN DOBSON F and ABEBE A and CORREIA HE and KASUMO C and ZINNER B,2018,multiple paternity and number of offspring in mammals,PROCEEDINGS OF THE ROYAL SOCIETY B: BIOLOGICAL SCIENCES,10.1098/rspb.2018.2042,English,Excluded: not meta-analysis
Street and Sally E.,2017,phylogenetic comparative investigations of sexual selection and cognitive evolution in primates,"University of St Andrews, The University of St Andrews",NA,English,Excluded: duplicate
STREET SE and CROSS CP and BROWN GR,2016,exaggerated sexual swellings in female nonhuman primates are reliable signals of female fertility and body condition,ANIMAL BEHAVIOUR,10.1016/j.anbehav.2015.11.023,English,Included
"Summers, Thomas",2021,how environments shape ornament morphological evolution: bringing perspective to a century of inconsistent sexual allometry analysis,"UNSW, Sydney",NA,English,Excluded: not meta-analysis
THOMPSON DJ and FINCKE OM,2002,"body size and fitness in odonata, stabilising selection and a meta-analysis too far?",ECOLOGICAL ENTOMOLOGY,10.1046/j.1365-2311.2002.00419.x,English,Excluded: not meta-analysis
THORNHILL R and MOLLER AP,1998,the relative importance of size and asymmetry in sexual selection,BEHAVIORAL ECOLOGY,10.1093/beheco/9.6.546,English,Included
TORRES-VILA LM and JENNIONS MD,2005,male mating history and female fecundity in the lepidoptera: do male virgins make better partners?,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,10.1007/s00265-004-0857-7,English,Included
TORRES-VILA LM and RODRIGUEZ-MOLINA MC and JENNIONS MD,2004,polyandry and fecundity in the lepidoptera: can methodological and conceptual approaches bias outcomes?,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,10.1007/s00265-003-0712-2,English,Included
Vaccaro EA,2012,"pheromone mechanisms and behavioral strategies for maximizing courtship success in a terrestrial salamander, plethodon shermani",Oregon State University,NA,English,Excluded: not meta-analysis
VIEIRA MC and PEIXOTO PEC,2013,winners and losers: a meta-analysis of functional determinants of fighting ability in arthropod contests,FUNCTIONAL ECOLOGY,10.1111/1365-2435.12051,English,Included
VOJE KL,2015,"scaling of morphological characters across trait type, sex, and environment: a meta-analysis of static allometries",AMERICAN NATURALIST,10.1086/684159,English,Included
WANG D and FORSTMEIER W and IHLE M and KHADRAOUI M and JERONIMO S and MARTIN K and KEMPENAERS B,2018,irreproducible text-book ``knowledge'': the effects of color bands on zebra finch fitness,EVOLUTION,10.1111/evo.13459,English,Excluded: not meta-analysis
WANG D and FORSTMEIER W and VALCU M and DINGEMANSE NJ and BULLA M and BOTH C and DUCKWORTH RA and KIERE LM and KARELL P and ALBRECHT T and KEMPENAERS B,2019,scrutinizing assortative mating in birds,PLOS BIOLOGY,10.1371/journal.pbio.3000156,English,Included
WEAVER RJ and SANTOS ESA and TUCKER AM and WILSON AE and HILL GE,2018,carotenoid metabolism strengthens the link between feather coloration and individual quality,NATURE COMMUNICATIONS,10.1038/s41467-017-02649-z,English,Included
WEIR LK and GRANT JWA and HUTCHINGS JA,2011,the influence of operational sex ratio on the intensity of competition for mates,AMERICAN NATURALIST,10.1086/657918,English,Included
WHITE TE,2020,structural colours reflect individual quality: a meta-analysis,BIOLOGY LETTERS,10.1098/rsbl.2020.0001,English,Included
WHITE TE and LATTY T and UMBERS KDL,2022,the exploitation of sexual signals by predators: a meta-analysis,PROCEEDINGS OF THE ROYAL SOCIETY B: BIOLOGICAL SCIENCES,10.1098/rspb.2022.0444,English,Included
WINTERNITZ J and ABBATE JL and HUCHARD E and HAVLICEK J and GARAMSZEGI LZ,2017,patterns of mhc-dependent mate selection in humans and nonhuman primates: a meta-analysis,MOLECULAR ECOLOGY,10.1111/mec.13920,English,Included
WINTERNITZ JC and MINCHEY SG and GARAMSZEGI LZ and HUANG S and STEPHENS PR and ALTIZER S,2013,sexual selection explains more functional variation in the mammalian major histocompatibility complex than parasitism,PROCEEDINGS OF THE ROYAL SOCIETY B: BIOLOGICAL SCIENCES,10.1098/rspb.2013.1605,English,Excluded: not meta-analysis
XIA C and LLOYD H and SHI J and WEI C and ZHANG Y,2018,dawn singing of the brownish-flanked bush warbler influences dawn chorusing in a bird community,ETHOLOGY,10.1111/eth.12740,English,Excluded: not meta-analysis
YASUKAWA K and ENSTROM DA and PARKER PG and JONES TC,2010,male red-winged blackbirds with experimentally dulled epaulets experience no disadvantage in sexual selection,JOURNAL OF FIELD ORNITHOLOGY,10.1111/j.1557-9263.2009.00258.x,English,Included
YUKILEVICH R,2012,asymmetrical patterns of speciation uniquely support reinforcement in drosophila,EVOLUTION,10.1111/j.1558-5646.2011.01534.x,English,Included
ZHANG SY and LI D and ZENG JP and WU XF and LIU XP,2016,effect of male mating history on female reproductive fitness in moths: a meta-analysis,CHINESE JOURNAL OF ECOLOGY,10.13292/j.1000-4890.201602.011,Chinese,Included
